Image,IsFace
annotated_data\face\image0.jpg,1.0
annotated_data\face\image10.jpg,1.0
annotated_data\face\image100.jpg,1.0
annotated_data\face\image1000.jpg,1.0
annotated_data\face\image1001.jpg,1.0
annotated_data\face\image1002.jpg,1.0
annotated_data\face\image1003.jpg,1.0
annotated_data\face\image1004.jpg,1.0
annotated_data\face\image1005.jpg,1.0
annotated_data\face\image1006.jpg,1.0
annotated_data\face\image1007.jpg,1.0
annotated_data\face\image1008.jpg,1.0
annotated_data\face\image1009.jpg,1.0
annotated_data\face\image101.jpg,1.0
annotated_data\face\image1010.jpg,1.0
annotated_data\face\image1011.jpg,1.0
annotated_data\face\image1012.jpg,1.0
annotated_data\face\image1013.jpg,1.0
annotated_data\face\image1014.jpg,1.0
annotated_data\face\image1015.jpg,1.0
annotated_data\face\image1016.jpg,1.0
annotated_data\face\image1017.jpg,1.0
annotated_data\face\image1018.jpg,1.0
annotated_data\face\image1019.jpg,1.0
annotated_data\face\image102.jpg,1.0
annotated_data\face\image1020.jpg,1.0
annotated_data\face\image1021.jpg,1.0
annotated_data\face\image1022.jpg,1.0
annotated_data\face\image1023.jpg,1.0
annotated_data\face\image1024.jpg,1.0
annotated_data\face\image1025.jpg,1.0
annotated_data\face\image1026.jpg,1.0
annotated_data\face\image1027.jpg,1.0
annotated_data\face\image1028.jpg,1.0
annotated_data\face\image1029.jpg,1.0
annotated_data\face\image103.jpg,1.0
annotated_data\face\image1030.jpg,1.0
annotated_data\face\image1031.jpg,1.0
annotated_data\face\image1032.jpg,1.0
annotated_data\face\image1033.jpg,1.0
annotated_data\face\image1034.jpg,1.0
annotated_data\face\image1035.jpg,1.0
annotated_data\face\image1036.jpg,1.0
annotated_data\face\image1037.jpg,1.0
annotated_data\face\image1038.jpg,1.0
annotated_data\face\image1039.jpg,1.0
annotated_data\face\image104.jpg,1.0
annotated_data\face\image1040.jpg,1.0
annotated_data\face\image1041.jpg,1.0
annotated_data\face\image1042.jpg,1.0
annotated_data\face\image1043.jpg,1.0
annotated_data\face\image1044.jpg,1.0
annotated_data\face\image1045.jpg,1.0
annotated_data\face\image1046.jpg,1.0
annotated_data\face\image1047.jpg,1.0
annotated_data\face\image1048.jpg,1.0
annotated_data\face\image1049.jpg,1.0
annotated_data\face\image105.jpg,1.0
annotated_data\face\image1050.jpg,1.0
annotated_data\face\image1051.jpg,1.0
annotated_data\face\image1052.jpg,1.0
annotated_data\face\image1053.jpg,1.0
annotated_data\face\image1054.jpg,1.0
annotated_data\face\image1055.jpg,1.0
annotated_data\face\image1056.jpg,1.0
annotated_data\face\image1057.jpg,1.0
annotated_data\face\image1058.jpg,1.0
annotated_data\face\image1059.jpg,1.0
annotated_data\face\image106.jpg,1.0
annotated_data\face\image1060.jpg,1.0
annotated_data\face\image1061.jpg,1.0
annotated_data\face\image1062.jpg,1.0
annotated_data\face\image1063.jpg,1.0
annotated_data\face\image1064.jpg,1.0
annotated_data\face\image1065.jpg,1.0
annotated_data\face\image1066.jpg,1.0
annotated_data\face\image1067.jpg,1.0
annotated_data\face\image1068.jpg,1.0
annotated_data\face\image1069.jpg,1.0
annotated_data\face\image107.jpg,1.0
annotated_data\face\image1070.jpg,1.0
annotated_data\face\image1071.jpg,1.0
annotated_data\face\image1072.jpg,1.0
annotated_data\face\image1073.jpg,1.0
annotated_data\face\image1074.jpg,1.0
annotated_data\face\image1075.jpg,1.0
annotated_data\face\image1076.jpg,1.0
annotated_data\face\image1077.jpg,1.0
annotated_data\face\image1078.jpg,1.0
annotated_data\face\image1079.jpg,1.0
annotated_data\face\image108.jpg,1.0
annotated_data\face\image1080.jpg,1.0
annotated_data\face\image1081.jpg,1.0
annotated_data\face\image1082.jpg,1.0
annotated_data\face\image1083.jpg,1.0
annotated_data\face\image1084.jpg,1.0
annotated_data\face\image1086.jpg,1.0
annotated_data\face\image1087.jpg,1.0
annotated_data\face\image1088.jpg,1.0
annotated_data\face\image1089.jpg,1.0
annotated_data\face\image109.jpg,1.0
annotated_data\face\image1090.jpg,1.0
annotated_data\face\image1091.jpg,1.0
annotated_data\face\image1092.jpg,1.0
annotated_data\face\image1093.jpg,1.0
annotated_data\face\image1094.jpg,1.0
annotated_data\face\image1095.jpg,1.0
annotated_data\face\image1096.jpg,1.0
annotated_data\face\image1097.jpg,1.0
annotated_data\face\image1098.jpg,1.0
annotated_data\face\image1099.jpg,1.0
annotated_data\face\image11.jpg,1.0
annotated_data\face\image110.jpg,1.0
annotated_data\face\image1100.jpg,1.0
annotated_data\face\image1101.jpg,1.0
annotated_data\face\image1102.jpg,1.0
